Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
COM,Comoros,28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
COM,Comoros,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
COM,Comoros,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
COM,Comoros,28154,SIDS,Yes/No,,,,,,,,,,,,1,
COM,Comoros,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,0
COM,Comoros,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
COM,Comoros,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CPV,Cabo Verde,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CPV,Cabo Verde,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CPV,Cabo Verde,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CPV,Cabo Verde,28154,SIDS,Yes/No,,,,,,,,,,,,1,
CPV,Cabo Verde,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,Cabo Verde,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CPV,Cabo Verde,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CRI,Costa Rica,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CRI,Costa Rica,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CRI,Costa Rica,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CRI,Costa Rica,28154,SIDS,Yes/No,,,,,,,,,,,,0,
CRI,Costa Rica,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,Costa Rica,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CRI,Costa Rica,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CUB,Cuba,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CUB,Cuba,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CUB,Cuba,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CUB,Cuba,28154,SIDS,Yes/No,,,,,,,,,,,,1,
CUB,Cuba,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CUB,Cuba,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CUB,Cuba,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CUW,Curacao,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
CUW,Curacao,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
CUW,Curacao,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,,1
CUW,Curacao,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,Cayman Islands,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
CYM,Cayman Islands,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
CYM,Cayman Islands,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,,1
CYM,Cayman Islands,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,Cyprus,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CYP,Cyprus,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CYP,Cyprus,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CYP,Cyprus,28154,SIDS,Yes/No,,,,,,,,,,,,0,
CYP,Cyprus,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,Cyprus,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CYP,Cyprus,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CZE,Czech Republic,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CZE,Czech Republic,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CZE,Czech Republic,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CZE,Czech Republic,28154,SIDS,Yes/No,,,,,,,,,,,,0,
CZE,Czech Republic,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,Czech Republic,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CZE,Czech Republic,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
DEU,Germany,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
DEU,Germany,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
DEU,Germany,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
DEU,Germany,28154,SIDS,Yes/No,,,,,,,,,,,,0,
DEU,Germany,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
DEU,Germany,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
DEU,Germany,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
DJI,Djibouti,28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
DJI,Djibouti,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
DJI,Djibouti,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
DJI,Djibouti,28154,SIDS,Yes/No,,,,,,,,,,,,0,
DJI,Djibouti,28156,Is this country on the FCV list?,Value,1,1,1,1,1,0,0,0,0,0,0,1,1
DJI,Djibouti,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
DJI,Djibouti,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
DMA,Dominica,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
DMA,Dominica,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
DMA,Dominica,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
DMA,Dominica,28154,SIDS,Yes/No,,,,,,,,,,,,1,
DMA,Dominica,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,Dominica,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
DMA,Dominica,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
DNK,Denmark,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
DNK,Denmark,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
DNK,Denmark,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
DNK,Denmark,28154,SIDS,Yes/No,,,,,,,,,,,,0,
DNK,Denmark,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,Denmark,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
DNK,Denmark,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
DOM,Dominican Republic,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
DOM,Dominican Republic,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
DOM,Dominican Republic,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
DOM,Dominican Republic,28154,SIDS,Yes/No,,,,,,,,,,,,1,
DOM,Dominican Republic,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM,Dominican Republic,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
DOM,Dominican Republic,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
DZA,Algeria,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
DZA,Algeria,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
DZA,Algeria,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
DZA,Algeria,28154,SIDS,Yes/No,,,,,,,,,,,,0,
DZA,Algeria,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,Algeria,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
DZA,Algeria,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
ECU,Ecuador,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
ECU,Ecuador,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
ECU,Ecuador,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
ECU,Ecuador,28154,SIDS,Yes/No,,,,,,,,,,,,0,
ECU,Ecuador,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
ECU,Ecuador,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
ECU,Ecuador,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
EGY,"Egypt, Arab Rep.",28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
EGY,"Egypt, Arab Rep.",28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
EGY,"Egypt, Arab Rep.",28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
EGY,"Egypt, Arab Rep.",28154,SIDS,Yes/No,,,,,,,,,,,,0,
EGY,"Egypt, Arab Rep.",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,"Egypt, Arab Rep.",28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
EGY,"Egypt, Arab Rep.",28167,Landlocked,Yes/No,,,,,,,,,,,,0,
ERI,Eritrea,28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
ERI,Eritrea,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
ERI,Eritrea,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
ERI,Eritrea,28154,SIDS,Yes/No,,,,,,,,,,,,0,
ERI,Eritrea,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1
ERI,Eritrea,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
ERI,Eritrea,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
ESP,Spain,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
ESP,Spain,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
ESP,Spain,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
ESP,Spain,28154,SIDS,Yes/No,,,,,,,,,,,,0,
ESP,Spain,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,Spain,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
EST,Estonia,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
EST,Estonia,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
EST,Estonia,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
EST,Estonia,28154,SIDS,Yes/No,,,,,,,,,,,,0,
EST,Estonia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
EST,Estonia,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
EST,Estonia,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
ETH,Ethiopia,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
ETH,Ethiopia,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
ETH,Ethiopia,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
ETH,Ethiopia,28154,SIDS,Yes/No,,,,,,,,,,,,0,
ETH,Ethiopia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,Ethiopia,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
ETH,Ethiopia,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
FIN,Finland,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
FIN,Finland,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
FIN,Finland,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
FIN,Finland,28154,SIDS,Yes/No,,,,,,,,,,,,0,
FIN,Finland,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,Finland,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
FIN,Finland,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
FJI,Fiji,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
FJI,Fiji,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
FJI,Fiji,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
FJI,Fiji,28154,SIDS,Yes/No,,,,,,,,,,,,1,
FJI,Fiji,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
FJI,Fiji,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
FJI,Fiji,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
FRA,France,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
FRA,France,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
FRA,France,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
FRA,France,28154,SIDS,Yes/No,,,,,,,,,,,,0,
FRA,France,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,France,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
FRA,France,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
FRO,Faroe Islands,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
FRO,Faroe Islands,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
FRO,Faroe Islands,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,,1
FRO,Faroe Islands,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,"Micronesia, Fed. Sts.",28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
FSM,"Micronesia, Fed. Sts.",28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
FSM,"Micronesia, Fed. Sts.",28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
FSM,"Micronesia, Fed. Sts.",28154,SIDS,Yes/No,,,,,,,,,,,,1,
FSM,"Micronesia, Fed. Sts.",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,1,1,1,1,1,1,1
FSM,"Micronesia, Fed. Sts.",28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
FSM,"Micronesia, Fed. Sts.",28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GAB,Gabon,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
GAB,Gabon,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
GAB,Gabon,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
GAB,Gabon,28154,SIDS,Yes/No,,,,,,,,,,,,0,
GAB,Gabon,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,Gabon,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
GAB,Gabon,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GBR,United Kingdom,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
GBR,United Kingdom,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
GBR,United Kingdom,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
GBR,United Kingdom,28154,SIDS,Yes/No,,,,,,,,,,,,0,
GBR,United Kingdom,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,United Kingdom,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GEO,Georgia,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
GEO,Georgia,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,1,1
GEO,Georgia,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
GEO,Georgia,28154,SIDS,Yes/No,,,,,,,,,,,,0,
GEO,Georgia,28156,Is this country on the FCV list?,Value,0,0,0,0,1,1,1,0,0,0,0,0,0
GEO,Georgia,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
GEO,Georgia,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GHA,Ghana,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
GHA,Ghana,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
GHA,Ghana,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
GHA,Ghana,28154,SIDS,Yes/No,,,,,,,,,,,,0,
GHA,Ghana,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,Ghana,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
GHA,Ghana,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GIB,Gibraltar,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
GIB,Gibraltar,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
GIB,Gibraltar,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,,1
GIB,Gibraltar,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,Guinea,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
GIN,Guinea,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,1,1
GIN,Guinea,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
GIN,Guinea,28154,SIDS,Yes/No,,,,,,,,,,,,0,
GIN,Guinea,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,0,0,0,0,0
GIN,Guinea,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
GIN,Guinea,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GMB,"Gambia, The",28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
GMB,"Gambia, The",28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
GMB,"Gambia, The",28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
GMB,"Gambia, The",28154,SIDS,Yes/No,,,,,,,,,,,,0,
GMB,"Gambia, The",28156,Is this country on the FCV list?,Value,1,1,1,1,1,0,0,0,0,0,1,1,1
GMB,"Gambia, The",28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
GMB,"Gambia, The",28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GNB,Guinea-Bissau,28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
GNB,Guinea-Bissau,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
GNB,Guinea-Bissau,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
GNB,Guinea-Bissau,28154,SIDS,Yes/No,,,,,,,,,,,,1,
GNB,Guinea-Bissau,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1
GNB,Guinea-Bissau,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
GNB,Guinea-Bissau,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GNQ,Equatorial Guinea,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
GNQ,Equatorial Guinea,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
GNQ,Equatorial Guinea,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
GNQ,Equatorial Guinea,28154,SIDS,Yes/No,,,,,,,,,,,,0,
GNQ,Equatorial Guinea,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
GNQ,Equatorial Guinea,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
GNQ,Equatorial Guinea,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GRC,Greece,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
GRC,Greece,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
GRC,Greece,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
GRC,Greece,28154,SIDS,Yes/No,,,,,,,,,,,,0,
GRC,Greece,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,Greece,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
GRC,Greece,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GRD,Grenada,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
GRD,Grenada,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
GRD,Grenada,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
GRD,Grenada,28154,SIDS,Yes/No,,,,,,,,,,,,1,
GRD,Grenada,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
GRD,Grenada,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
GRD,Grenada,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GRL,Greenland,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
GRL,Greenland,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
GRL,Greenland,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,,1
GRL,Greenland,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,Guatemala,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
GTM,Guatemala,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
GTM,Guatemala,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
GTM,Guatemala,28154,SIDS,Yes/No,,,,,,,,,,,,0,
GTM,Guatemala,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,Guatemala,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
GTM,Guatemala,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
GUM,Guam,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
GUM,Guam,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
GUM,Guam,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,,1
GUM,Guam,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,Guyana,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
GUY,Guyana,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
GUY,Guyana,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
GUY,Guyana,28154,SIDS,Yes/No,,,,,,,,,,,,1,
GUY,Guyana,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,Guyana,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
GUY,Guyana,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
HKG,"Hong Kong SAR, China",28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
HKG,"Hong Kong SAR, China",28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
HKG,"Hong Kong SAR, China",28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
HKG,"Hong Kong SAR, China",28154,SIDS,Yes/No,,,,,,,,,,,,0,
HKG,"Hong Kong SAR, China",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
HKG,"Hong Kong SAR, China",28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
HKG,"Hong Kong SAR, China",28167,Landlocked,Yes/No,,,,,,,,,,,,0,
HND,Honduras,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
HND,Honduras,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
HND,Honduras,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
HND,Honduras,28154,SIDS,Yes/No,,,,,,,,,,,,0,
HND,Honduras,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
HND,Honduras,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
HND,Honduras,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
HRV,Croatia,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
HRV,Croatia,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
HRV,Croatia,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
HRV,Croatia,28154,SIDS,Yes/No,,,,,,,,,,,,0,
HRV,Croatia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
HRV,Croatia,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
HRV,Croatia,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
HTI,Haiti,28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
HTI,Haiti,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
HTI,Haiti,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
HTI,Haiti,28154,SIDS,Yes/No,,,,,,,,,,,,1,
